"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Assam","Jorhat","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Jorhat","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Jorhat","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Kamrup","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Kamrup","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Kamrup","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Kamrup Metro","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Kamrup Metro","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Kamrup Metro","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Karbi Anglong","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Karbi Anglong","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Karbi Anglong","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Karimganj","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Karimganj","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Karimganj","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Kokrajhar","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Kokrajhar","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Kokrajhar","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Lakhimpur","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Lakhimpur","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Lakhimpur","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Majuli","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Majuli","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Majuli","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Marigaon","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Marigaon","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Marigaon","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Nagaon","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Nagaon","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Nagaon","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Nalbari","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Nalbari","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Nalbari","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Sivasagar","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Sivasagar","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Sivasagar","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Sonitpur","2024-01-01","2024","01","NA","IMD GRID MODEL"
